path,label,start,end,subject,cam,dataset
Subject_1/ADL/01,4,0.0,0.5,1,1,GMDCSA24
Subject_1/ADL/02,4,0.0,0.4,1,1,GMDCSA24
Subject_1/ADL/03,4,0.0,0.4,1,1,GMDCSA24
Subject_1/ADL/04,6,0.0,1.14,1,1,GMDCSA24
Subject_1/ADL/06,4,0.0,0.7,1,1,GMDCSA24
Subject_1/ADL/07,9,0.0,7.52,1,1,GMDCSA24
Subject_1/ADL/08,0,0.0,6.28,1,1,GMDCSA24
Subject_1/ADL/09,9,0.0,4.98,1,1,GMDCSA24
Subject_1/ADL/10,9,0.0,3.92,1,1,GMDCSA24
Subject_1/ADL/11,0,0.0,1.94,1,1,GMDCSA24
Subject_1/ADL/14,4,0.0,0.44,1,1,GMDCSA24
Subject_1/ADL/15,0,0.0,1.28,1,1,GMDCSA24
Subject_1/ADL/16,4,0.0,3.52,1,1,GMDCSA24
Subject_1/Fall/01,4,0.0,2.28,1,1,GMDCSA24
Subject_1/Fall/02,4,0.0,1.14,1,1,GMDCSA24
Subject_1/Fall/03,4,0.0,0.8,1,1,GMDCSA24
Subject_1/Fall/04,4,0.0,0.72,1,1,GMDCSA24
Subject_1/ADL/12,9,0.0,2.58,1,1,GMDCSA24
Subject_1/ADL/13,8,0.0,0.64,1,1,GMDCSA24
Subject_1/Fall/06,0,0.0,2.24,1,1,GMDCSA24
Subject_1/Fall/07,0,0.0,1.0,1,1,GMDCSA24
Subject_1/Fall/08,0,0.0,0.76,1,1,GMDCSA24
Subject_1/Fall/09,8,0.0,0.64,1,1,GMDCSA24
Subject_1/Fall/10,8,0.0,0.72,1,1,GMDCSA24
Subject_1/Fall/11,8,0.0,0.52,1,1,GMDCSA24
Subject_1/Fall/12,8,0.0,1.66,1,1,GMDCSA24
Subject_1/Fall/14,8,0.0,0.02,1,1,GMDCSA24
Subject_1/Fall/15,4,0.0,0.26,1,1,GMDCSA24
Subject_1/Fall/16,4,0.0,1.52,1,1,GMDCSA24
Subject_1/Fall/05,0,0.0,1.76,1,1,GMDCSA24
Subject_1/Fall/13,1,0.0,1.92,1,1,GMDCSA24
Subject_1/Fall/14,1,0.014,2.274,1,1,GMDCSA24
Subject_1/Fall/15,1,0.26,3.62,1,1,GMDCSA24
Subject_1/ADL/02,5,0.4,2.58,1,1,GMDCSA24
Subject_1/ADL/03,5,0.4,1.9,1,1,GMDCSA24
Subject_1/ADL/14,7,0.44,1.62,1,1,GMDCSA24
Subject_1/ADL/01,5,0.5,2.8,1,1,GMDCSA24
Subject_1/Fall/11,1,0.52,2.7,1,1,GMDCSA24
Subject_1/ADL/13,0,0.64,2.52,1,1,GMDCSA24
Subject_1/Fall/09,1,0.64,2.16,1,1,GMDCSA24
Subject_1/ADL/06,5,0.7,3.1,1,1,GMDCSA24
Subject_1/Fall/04,1,0.72,3.06,1,1,GMDCSA24
Subject_1/Fall/10,1,0.72,2.34,1,1,GMDCSA24
Subject_1/Fall/08,1,0.76,2.4,1,1,GMDCSA24
Subject_1/Fall/03,1,0.8,3.28,1,1,GMDCSA24
Subject_1/ADL/05,0,1.0,2.08,1,1,GMDCSA24
Subject_1/Fall/07,1,1.0,2.74,1,1,GMDCSA24
Subject_1/ADL/04,7,1.14,3.58,1,1,GMDCSA24
Subject_1/Fall/02,1,1.14,2.78,1,1,GMDCSA24
Subject_1/ADL/15,9,1.28,3.12,1,1,GMDCSA24
Subject_1/Fall/16,1,1.52,4.5,1,1,GMDCSA24
Subject_1/ADL/14,0,1.62,4.18,1,1,GMDCSA24
Subject_1/Fall/12,1,1.66,3.78,1,1,GMDCSA24
Subject_1/Fall/05,1,1.76,3.6,1,1,GMDCSA24
Subject_1/ADL/03,6,1.9,6.7,1,1,GMDCSA24
Subject_1/Fall/13,2,1.92,4.32,1,1,GMDCSA24
Subject_1/ADL/11,3,1.94,3.9,1,1,GMDCSA24
Subject_1/ADL/05,3,2.08,3.78,1,1,GMDCSA24
Subject_1/Fall/09,2,2.16,4.48,1,1,GMDCSA24
Subject_1/Fall/06,1,2.24,4.5,1,1,GMDCSA24
Subject_1/Fall/14,2,2.274,5.694,1,1,GMDCSA24
Subject_1/Fall/01,1,2.28,4.42,1,1,GMDCSA24
Subject_1/Fall/10,2,2.34,4.48,1,1,GMDCSA24
Subject_1/Fall/08,2,2.4,4.34,1,1,GMDCSA24
Subject_1/ADL/13,3,2.52,3.86,1,1,GMDCSA24
Subject_1/ADL/02,6,2.58,6.68,1,1,GMDCSA24
Subject_1/ADL/12,7,2.58,4.0,1,1,GMDCSA24
Subject_1/Fall/11,2,2.7,6.08,1,1,GMDCSA24
Subject_1/Fall/07,2,2.74,5.14,1,1,GMDCSA24
Subject_1/Fall/02,2,2.78,6.38,1,1,GMDCSA24
Subject_1/ADL/01,6,2.8,8.26,1,1,GMDCSA24
Subject_1/Fall/04,2,3.06,4.98,1,1,GMDCSA24
Subject_1/ADL/06,9,3.1,12.22,1,1,GMDCSA24
Subject_1/ADL/15,3,3.12,4.74,1,1,GMDCSA24
Subject_1/Fall/03,2,3.28,5.92,1,1,GMDCSA24
Subject_1/ADL/04,4,3.58,5.84,1,1,GMDCSA24
Subject_1/Fall/05,2,3.6,5.84,1,1,GMDCSA24
Subject_1/Fall/15,2,3.62,6.0,1,1,GMDCSA24
