path,label,start,end,subject,cam,dataset
adl/HopS1,9,0.0,9.1,1,1,caucafall
adl/KneelS1,9,0.0,10.95,1,1,caucafall
adl/PickupobjectS1,0,0.0,1.2,1,1,caucafall
adl/SitDownS1,3,0.0,5.73692,1,1,caucafall
backwards/FallBackwardsS1,8,0.0,1.93,1,1,caucafall
adl/WalkS1,0,0.0,6.46,1,1,caucafall
forward/FallForwardS1,8,0.0,2.92,1,1,caucafall
side/FallLeftS1,0,0.0,0.91,1,1,caucafall
side/FallRightS1,8,0.0,0.53,1,1,caucafall
side/FallSittingS1,4,0.0,1.85,1,1,caucafall
side/FallRightS1,1,0.53,3.43,1,1,caucafall
side/FallLeftS1,1,0.91,2.99,1,1,caucafall
adl/PickupobjectS1,9,1.2,4.77,1,1,caucafall
side/FallSittingS1,1,1.85,5.99,1,1,caucafall
backwards/FallBackwardsS1,1,1.93,3.77,1,1,caucafall
forward/FallForwardS1,0,2.92,5.32,1,1,caucafall
side/FallLeftS1,2,2.99,4.29,1,1,caucafall
side/FallRightS1,2,3.43,5.69,1,1,caucafall
backwards/FallBackwardsS1,6,3.77,6.25,1,1,caucafall
adl/PickupobjectS1,8,4.765,5.845,1,1,caucafall
forward/FallForwardS1,1,5.32,7.64,1,1,caucafall
adl/SitDownS1,4,5.737,9.34108,1,1,caucafall
side/FallSittingS1,2,5.99,9.09,1,1,caucafall
adl/WalkS1,8,6.46,7.3,1,1,caucafall
adl/WalkS1,0,7.3,12.1,1,1,caucafall
forward/FallForwardS1,2,7.64,9.5,1,1,caucafall
forward/FallForwardS2,1,0,1.88,2,1,caucafall
adl/HopS2,9,0.0,8.55,2,1,caucafall
adl/KneelS2,9,0.0,5.0,2,1,caucafall
adl/SitDownS2,3,0.0,3.07025,2,1,caucafall
adl/PickupobjectS2,0,0.0,1.2963,2,1,caucafall
adl/WalkS2,0,0.0,12.2,2,1,caucafall
backwards/FallBackwardsS2,8,0.0,2.06,2,1,caucafall
side/FallRightS2,8,0.0,0.28,2,1,caucafall
side/FallSittingS2,4,0.0,2.24,2,1,caucafall
side/FallLeftS2,8,0.01,0.61,2,1,caucafall
side/FallRightS2,0,0.28,1.06,2,1,caucafall
side/FallLeftS2,1,0.61,3.23,2,1,caucafall
side/FallRightS2,1,1.06,2.62,2,1,caucafall
adl/PickupobjectS2,9,1.296,8.08186,2,1,caucafall
forward/FallForwardS2,2,1.68,5.3,2,1,caucafall
backwards/FallBackwardsS2,1,2.06,4.66,2,1,caucafall
side/FallSittingS2,1,2.24,5.62,2,1,caucafall
side/FallRightS2,2,2.62,7.3,2,1,caucafall
adl/SitDownS2,4,3.07,4.79942,2,1,caucafall
side/FallLeftS2,2,3.23,5.45,2,1,caucafall
backwards/FallBackwardsS2,2,4.66,5.94,2,1,caucafall
adl/SitDownS2,7,4.799,5.6,2,1,caucafall
adl/KneelS2,7,4.99,6.49,2,1,caucafall
side/FallSittingS2,2,5.62,7.84,2,1,caucafall
adl/PickupobjectS2,8,8.08,8.3,2,1,caucafall
adl/HopS3,9,0.0,8.1,3,1,caucafall
adl/KneelS3,9,0.0,6.99,3,1,caucafall
adl/PickupobjectS3,0,0.0,1.69589,3,1,caucafall
adl/SitDownS3,9,0.0,1.98692,3,1,caucafall
adl/WalkS3,0,0.0,8.8,3,1,caucafall
backwards/FallBackwardsS3,8,0.0,2.22,3,1,caucafall
forward/FallForwardS3,8,0.0,3.01,3,1,caucafall
side/FallLeftS3,8,0.0,4.27,3,1,caucafall
side/FallRightS3,8,0.0,1.76,3,1,caucafall
side/FallSittingS3,4,0.0,1.5,3,1,caucafall
side/FallSittingS3,1,1.5,3.42,3,1,caucafall
adl/PickupobjectS3,9,1.696,7.44589,3,1,caucafall
side/FallRightS3,1,1.76,3.76,3,1,caucafall
adl/SitDownS3,3,1.987,5.61192,3,1,caucafall
backwards/FallBackwardsS3,1,2.22,5.0,3,1,caucafall
forward/FallForwardS3,1,3.01,5.19,3,1,caucafall
side/FallSittingS3,2,3.42,10.1,3,1,caucafall
side/FallRightS3,2,3.76,11.0,3,1,caucafall
side/FallLeftS3,1,4.27,6.13,3,1,caucafall
backwards/FallBackwardsS3,2,5.0,8.3,3,1,caucafall
forward/FallForwardS3,2,5.19,7.65,3,1,caucafall
adl/SitDownS3,4,5.57,13.04942,3,1,caucafall
side/FallLeftS3,2,6.13,8.55,3,1,caucafall
adl/KneelS3,7,6.99,10.64776,3,1,caucafall
adl/PickupobjectS3,8,7.446,7.8305,3,1,caucafall
adl/PickupobjectS3,0,7.83,9.28242,3,1,caucafall
forward/FallForwardS4,1,0.,2.,4,1,caucafall
adl/HopS4,9,0.0,7.2,4,1,caucafall
adl/KneelS4,9,0.0,8.54,4,1,caucafall
adl/PickupobjectS4,0,0.0,8.95,4,1,caucafall
adl/SitDownS4,9,0.0,2.79942,4,1,caucafall
adl/WalkS4,0,0.0,12.0,4,1,caucafall
backwards/FallBackwardsS4,0,0.0,2.15,4,1,caucafall
side/FallLeftS4,9,0.0,1.98,4,1,caucafall
side/FallRightS4,8,0.0,1.18,4,1,caucafall
side/FallSittingS4,4,0.0,2.26,4,1,caucafall
side/FallRightS4,1,1.18,3.18,4,1,caucafall
forward/FallForwardS4,2,2.,8.39,4,1,caucafall
side/FallLeftS4,1,1.98,4.18,4,1,caucafall
backwards/FallBackwardsS4,1,2.15,5.21,4,1,caucafall
side/FallSittingS4,1,2.26,4.1,4,1,caucafall
adl/SitDownS4,3,2.799,5.98692,4,1,caucafall
