dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,pose_path,pose_cache_hit,pose_cache_version
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/HopS1_9_0.000_9.100_1_1_caucafall.avi,1,1,HopS1,other,9,0,0.0,9.1,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_dce7b4e2df0d361183a9.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/KneelS1_9_0.000_10.950_1_1_caucafall.avi,1,1,KneelS1,other,9,0,0.0,10.95,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_5d93be7174297cd0486b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/PickupobjectS1_0_0.000_1.200_1_1_caucafall.avi,1,1,PickupobjectS1,walk,0,0,0.0,1.2,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_1b9dd5c92856e709041b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/SitDownS1_3_0.000_5.737_1_1_caucafall.avi,1,1,SitDownS1,sit_down,3,0,0.0,5.73692,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_c0b55b42f1f3740a4625.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallBackwardsS1_1_1.930_3.770_1_1_caucafall.avi,1,1,FallBackwardsS1,standing,8,0,0.0,1.93,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_f94f630a796473e8ea2e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/WalkS1_0_0.000_6.460_1_1_caucafall.avi,1,1,WalkS1,walk,0,0,0.0,6.46,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_93e10664c05ff30a0bf1.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallForwardS1_0_2.920_5.320_1_1_caucafall.avi,1,1,FallForwardS1,standing,8,0,0.0,2.92,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_c2cb19437353a06db2a5.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallLeftS1_0_0.000_0.910_1_1_caucafall.avi,1,1,FallLeftS1,walk,0,0,0.0,0.91,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_36c669930e9cbe06ca7e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallRightS1_1_0.530_3.430_1_1_caucafall.avi,1,1,FallRightS1,standing,8,0,0.0,0.53,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_60a0b246e5c35570b8fb.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallSittingS1_1_1.850_5.990_1_1_caucafall.avi,1,1,FallSittingS1,sitting,4,0,0.0,1.85,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_6b32191a1f2aab0dc6cc.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallRightS1_1_0.530_3.430_1_1_caucafall.avi,1,1,FallRightS1,fall,1,1,0.53,3.43,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_d3ac4f8a33b8917d8a78.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallSittingS1_1_1.850_5.990_1_1_caucafall.avi,1,1,FallSittingS1,fall,1,1,1.85,5.99,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_e62db5b01176a9393938.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallForwardS2_1_0.000_1.880_2_1_caucafall.avi,2,1,FallForwardS2,fall,1,1,0.0,1.88,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_8d3a38b8d6b64d4504b0.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/HopS2_9_0.000_8.550_2_1_caucafall.avi,2,1,HopS2,other,9,0,0.0,8.55,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_5e312a6840867d84cf83.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/KneelS2_7_4.990_6.490_2_1_caucafall.avi,2,1,KneelS2,other,9,0,0.0,5.0,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_2d68aa38ddea91636895.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/SitDownS2_3_0.000_3.070_2_1_caucafall.avi,2,1,SitDownS2,sit_down,3,0,0.0,3.07025,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_a6de3730b77daf4c721d.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/PickupobjectS2_0_0.000_1.296_2_1_caucafall.avi,2,1,PickupobjectS2,walk,0,0,0.0,1.2963,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_f32369cd03add0497002.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/WalkS2_0_0.000_12.200_2_1_caucafall.avi,2,1,WalkS2,walk,0,0,0.0,12.2,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_9eddfc9e53a67f9f16e7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
