dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,error
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallLeftS1_0_0.000_0.910_1_1_caucafall.avi,1,1,FallLeftS1,fall,1,1,0.91,2.99,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/PickupobjectS1_0_0.000_1.200_1_1_caucafall.avi,1,1,PickupobjectS1,other,9,0,1.2,4.77,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallBackwardsS1_1_1.930_3.770_1_1_caucafall.avi,1,1,FallBackwardsS1,fall,1,1,1.93,3.77,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallForwardS1_0_2.920_5.320_1_1_caucafall.avi,1,1,FallForwardS1,walk,0,0,2.92,5.32,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallLeftS1_0_0.000_0.910_1_1_caucafall.avi,1,1,FallLeftS1,fallen,2,1,2.99,4.29,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallRightS1_1_0.530_3.430_1_1_caucafall.avi,1,1,FallRightS1,fallen,2,1,3.43,5.69,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallBackwardsS1_1_1.930_3.770_1_1_caucafall.avi,1,1,FallBackwardsS1,lying,6,0,3.77,6.25,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/PickupobjectS1_0_0.000_1.200_1_1_caucafall.avi,1,1,PickupobjectS1,standing,8,0,4.765,5.845,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallForwardS1_0_2.920_5.320_1_1_caucafall.avi,1,1,FallForwardS1,fall,1,1,5.32,7.64,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/SitDownS1_3_0.000_5.737_1_1_caucafall.avi,1,1,SitDownS1,sitting,4,0,5.737,9.34108,ValueError('Insufficient readable sampled frames (0/32)')
