dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,split
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam6_0_28.799_33.904_1_6_mcfd.avi,1,6,1,walk,0,0,28.79931,33.904,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam6_0_28.799_33.904_1_6_mcfd.avi,1,6,1,other,9,0,33.936,36.172,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam6_0_28.799_33.904_1_6_mcfd.avi,1,6,1,fall,1,1,36.204,38.21597,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam6_0_10.737_13.590_1_6_mcfd.avi,1,6,2,walk,0,0,10.73681,13.59,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam6_0_10.737_13.590_1_6_mcfd.avi,1,6,2,fall,1,1,13.622,15.67431,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam6_0_12.778_20.348_1_6_mcfd.avi,1,6,3,walk,0,0,12.77847,20.348,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam6_0_12.778_20.348_1_6_mcfd.avi,1,6,3,fall,1,1,20.38,23.11181,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam6_0_9.820_12.388_1_6_mcfd.avi,1,6,4,walk,0,0,9.82014,12.388,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam6_0_9.820_12.388_1_6_mcfd.avi,1,6,4,fall,1,1,12.388,13.73681,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam6_0_9.799_10.646_1_6_mcfd.avi,1,6,5,walk,0,0,9.79931,10.646,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam6_0_9.799_10.646_1_6_mcfd.avi,1,6,5,fall,1,1,10.682,12.92431,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam6_0_9.799_10.646_1_6_mcfd.avi,1,6,5,fallen,2,1,12.924,15.314,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam6_0_13.966_22.902_1_6_mcfd.avi,1,6,6,walk,0,0,13.96597,22.902,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam6_0_13.966_22.902_1_6_mcfd.avi,1,6,6,fall,1,1,22.934,25.32014,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam6_0_10.841_16.410_1_6_mcfd.avi,1,6,7,walk,0,0,10.84097,16.41,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam6_0_10.841_16.410_1_6_mcfd.avi,1,6,7,fall,1,1,16.446,18.59097,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam6_0_6.945_11.754_1_6_mcfd.avi,1,6,8,walk,0,0,6.94514,11.754,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam6_0_6.945_11.754_1_6_mcfd.avi,1,6,8,fall,1,1,11.786,13.15347,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam6_0_6.945_11.754_1_6_mcfd.avi,1,6,8,fallen,2,1,13.153,15.422,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam6_0_10.049_16.106_1_6_mcfd.avi,1,6,9,walk,0,0,10.04931,16.106,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam6_0_10.049_16.106_1_6_mcfd.avi,1,6,9,fall,1,1,16.142,17.206,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam6_0_10.049_16.106_1_6_mcfd.avi,1,6,9,sitting,4,0,17.242,19.574,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam6_0_10.049_16.106_1_6_mcfd.avi,1,6,9,stand_up,7,0,19.606,21.274,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam6_0_10.049_16.106_1_6_mcfd.avi,1,6,9,fall,1,1,21.306,22.73681,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam6_0_10.487_15.946_1_6_mcfd.avi,1,6,10,walk,0,0,10.48681,15.946,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam6_0_10.487_15.946_1_6_mcfd.avi,1,6,10,sit_down,3,0,15.978,17.32014,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam6_0_10.487_15.946_1_6_mcfd.avi,1,6,10,fallen,2,1,18.653,20.81681,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam6_0_12.508_15.636_1_6_mcfd.avi,1,6,11,walk,0,0,12.50764,15.636,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam6_0_12.508_15.636_1_6_mcfd.avi,1,6,11,fall,1,1,15.672,17.23681,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam6_0_11.934_20.234_1_6_mcfd.avi,1,6,12,walk,0,0,11.934,20.234,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam6_0_11.934_20.234_1_6_mcfd.avi,1,6,12,fall,1,1,20.27,21.87,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam6_0_11.934_20.234_1_6_mcfd.avi,1,6,12,fallen,2,1,21.902,25.77,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,walk,0,0,10.95,15.25,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,fall,1,1,15.286,16.786,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,other,9,0,16.818,22.118,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,lying,6,0,22.15,24.25764,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,fall,1,1,28.35,29.686,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam6_0_10.950_15.250_1_6_mcfd.avi,1,6,13,fallen,2,1,29.718,32.918,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,walk,0,0,13.386,19.486,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,fall,1,1,19.518,20.654,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,lying,6,0,20.686,27.61181,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,stand_up,7,0,27.612,33.918,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,fall,1,1,33.954,35.086,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute14_cam6_0_13.386_19.486_1_6_mcfd.avi,1,6,14,fallen,2,1,35.118,38.154,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,walk,0,0,13.46,17.56,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,fall,1,1,17.592,19.028,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,sitting,4,0,19.06,22.36,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,stand_up,7,0,22.392,26.492,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,fall,1,1,26.528,27.592,test
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute15_cam6_0_13.460_17.560_1_6_mcfd.avi,1,6,15,fallen,2,1,27.628,30.36,test
