dataset,activity,number_of_examples,false_alarms,false_alarm_rate,mean_predicted_fall_probability
CAUCAFall,other,20,9,0.45,0.48120117
CAUCAFall,sit_down,5,3,0.6,0.51518553
CAUCAFall,sitting,10,7,0.7,0.5331055
CAUCAFall,stand_up,1,0,0.0,0.49169922
CAUCAFall,standing,25,19,0.76,0.52831054
CAUCAFall,walk,41,4,0.0975609756097561,0.44672972
GMDCSA24,lie_down,3,3,1.0,0.76904297
GMDCSA24,lying,4,4,1.0,0.7570801
GMDCSA24,other,14,6,0.42857142857142855,0.49047852
GMDCSA24,sit_down,4,0,0.0,0.43371582
GMDCSA24,sitting,17,2,0.11764705882352941,0.4287971
GMDCSA24,stand_up,2,1,0.5,0.49401855
GMDCSA24,standing,2,0,0.0,0.49621582
GMDCSA24,walk,13,6,0.46153846153846156,0.54304385
