dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,split,pose_path,pose_cache_hit,pose_cache_version
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam1_0_28.133_33.237_1_1_mcfd.avi,1,1,1,walk,0,0,28.13264333333333,33.23733333333334,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_022a69c17cda6e02265b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam3_0_28.299_33.404_1_3_mcfd.avi,1,3,1,walk,0,0,28.29931,33.404,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3d1f79ba75097996f013.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam1_0_28.133_33.237_1_1_mcfd.avi,1,1,1,other,9,0,33.269333333333336,35.50533333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_bf931e4e4eb252132ac4.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam3_0_28.299_33.404_1_3_mcfd.avi,1,3,1,other,9,0,33.436,35.672,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_f49594c42389bf9e9220.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam1_0_28.133_33.237_1_1_mcfd.avi,1,1,1,fall,1,1,35.537333333333336,37.54930333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_035ea06281af44239a8b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute01_cam3_0_28.299_33.404_1_3_mcfd.avi,1,3,1,fall,1,1,35.704,37.71597,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3588724b5d9b1bcbd1b7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam1_0_10.970_13.823_1_1_mcfd.avi,1,1,2,walk,0,0,10.970143333333333,13.823333333333332,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_e8f2f7df06bc4cf13691.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam3_0_10.137_12.990_1_3_mcfd.avi,1,3,2,walk,0,0,10.13681,12.99,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_fde5ac2516d4e4571d01.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam1_0_10.970_13.823_1_1_mcfd.avi,1,1,2,fall,1,1,13.855333333333332,15.907643333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_2609481b13c1c061710a.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute02_cam3_0_10.137_12.990_1_3_mcfd.avi,1,3,2,fall,1,1,13.022,15.07431,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_ebe6a2c677468f43f871.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam1_0_12.012_19.581_1_1_mcfd.avi,1,1,3,walk,0,0,12.011803333333331,19.581333333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_309a1cf172179e84d778.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam3_0_11.878_19.448_1_3_mcfd.avi,1,3,3,walk,0,0,11.87847,19.448,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_6b2856f1244345c78a76.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam1_0_12.012_19.581_1_1_mcfd.avi,1,1,3,fall,1,1,19.613333333333333,22.345143333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_919b1ecac5c79e487f52.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute03_cam3_0_11.878_19.448_1_3_mcfd.avi,1,3,3,fall,1,1,19.48,22.21181,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_227451f137bf1e6ebf86.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam1_0_9.953_12.521_1_1_mcfd.avi,1,1,4,walk,0,0,9.953473333333331,12.521333333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_d361e6ea5a5a68512c34.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
